China,Beijing,Chinese,china.jpeg
Egypt,Cairo,Arabic,egypt.jpeg
France,Paris,French,france.jpeg
Germany,Berlin,German,germany.jpeg
India,New Delhi,Hindi,india.jpeg
Japan,Tokyo,Japanese,japan.jpeg
Kenya,Nairobi,Swahili,kenya.jpeg
Mexico,Mexico City,Spanish,mexico.jpeg
United Kingdom,London,English,uk.jpeg
United States,Washington D.C.,English,usa.jpeg
